class,xmin,ymin,xmax,ymax
0.0,133.90953,37.126175,145.25705,47.646652
0.0,134.50824,70.35178,144.81992,80.716545
0.0,133.07869,103.39136,145.39693,112.77644
0.0,133.16502,176.30185,143.42119,185.85577
0.0,132.90306,195.69696,144.1739,206.36249
0.0,131.71715,209.01234,142.9892,219.71848
0.0,131.56085,222.22841,143.82236,231.99542
0.0,132.4196,234.45345,143.66039,244.20552
0.0,132.06781,260.9566,142.30319,271.74365
0.0,15.364712,254.07321,26.340271,264.20163
0.0,15.471852,240.28123,27.540133,250.42819
0.0,16.665148,227.59055,27.645353,237.64597
0.0,15.777483,200.08743,26.785368,211.13774
0.0,15.934827,179.91132,26.951712,190.91025
0.0,17.24815,152.22133,28.270245,163.14578
0.0,16.375175,124.49982,28.500086,134.30115
0.0,16.692207,83.865875,28.836983,93.54497
0.0,17.893751,69.889,28.952505,80.65195
0.0,15.044045,294.06357,27.094221,305.42496
0.0,14.888234,314.11676,25.845232,325.45547
0.0,131.23723,326.8272,141.43324,336.76102
0.0,130.47128,305.58658,141.71376,317.57498
0.0,131.74281,287.34946,141.95462,297.1842
0.0,13.626133,336.07318,26.745916,347.646
0.0,133.73772,50.633724,146.09427,61.099625
