class,xmin,ymin,xmax,ymax
0.0,16.0,41.0,27.0,50.0
0.0,16.0,54.0,27.0,63.0
0.0,128.0,41.0,138.0,50.0
0.0,129.0,54.0,138.0,64.0
0.0,128.0,73.0,139.0,83.0
0.0,129.0,106.0,138.0,115.0
0.0,129.0,124.0,139.0,134.0
0.0,129.0,138.0,138.0,145.0
0.0,129.0,177.0,139.0,185.0
0.0,128.0,221.0,139.0,230.0
0.0,129.0,234.0,138.0,242.0
0.0,128.0,246.0,138.0,256.0
0.0,129.0,260.0,139.0,268.0
0.0,129.0,285.0,139.0,294.0
0.0,129.0,305.0,139.0,315.0
0.0,17.0,285.0,29.0,294.0
0.0,18.0,259.0,27.0,267.0
0.0,18.0,233.0,27.0,242.0
0.0,18.0,221.0,28.0,230.0
0.0,17.0,196.0,27.0,205.0
0.0,17.0,208.0,28.0,217.0
0.0,18.0,177.0,27.0,185.0
0.0,17.0,150.0,27.0,158.0
0.0,18.0,86.0,27.0,95.0
0.0,17.0,74.0,27.0,83.0
0.0,17.0,323.0,27.0,333.0
