class,xmin,ymin,xmax,ymax
0.0,14.910607,39.579376,27.205654,51.97562
0.0,137.6329,81.29716,152.01707,95.08465
0.0,137.19865,129.43,149.06013,140.19934
0.0,136.05453,159.76443,147.92877,172.73257
0.0,135.04909,190.95255,146.7656,201.32272
0.0,134.13683,212.33273,145.96819,227.26335
0.0,133.11089,242.91441,144.82762,256.43616
0.0,131.50504,259.23608,144.2189,270.39008
0.0,129.43102,316.71335,142.07524,329.72314
0.0,128.68484,339.4002,140.12297,351.06967
0.0,127.94477,361.83914,139.29088,372.2415
0.0,10.950354,363.90436,21.471312,375.0873
0.0,11.469955,322.27264,23.114983,332.6937
0.0,11.807556,294.5408,23.516272,305.1492
0.0,11.98453,280.06363,22.667604,290.71027
0.0,13.751558,222.25795,23.49241,233.21208
0.0,12.52137,235.97362,23.296705,246.91014
0.0,13.679943,139.62862,24.671413,152.3838
0.0,13.507811,154.85452,25.53758,166.42787
0.0,14.381644,169.01558,24.252104,182.63272
0.0,13.968844,117.077934,24.993181,128.81273
0.0,14.245659,93.13545,25.334806,106.22784
0.0,14.436398,78.55041,26.64173,90.66577
0.0,14.717148,54.258698,26.993238,67.75974
