class,xmin,ymin,xmax,ymax
0.0,130.02036,20.678305,138.74666,31.128582
0.0,129.87886,55.08877,139.59242,64.5217
0.0,15.910097,55.438877,26.789478,65.3842
0.0,129.7365,86.558044,138.52061,97.9055
0.0,16.157217,112.080894,26.02612,122.87134
0.0,14.435002,155.63016,25.437109,166.38033
0.0,129.53485,135.1605,139.32478,145.41338
0.0,128.43431,161.69211,138.26263,172.9387
0.0,14.123595,177.0143,25.148483,187.70056
0.0,13.712021,206.41002,24.751734,215.87787
0.0,13.497177,220.02953,24.567917,230.58627
0.0,13.082422,248.51007,24.18353,258.98038
0.0,129.21313,211.0197,139.07124,221.05727
0.0,13.719822,279.44012,23.76621,290.9527
