class,xmin,ymin,xmax,ymax
0.0,12.164024,41.683414,23.52509,51.224808
0.0,125.681885,85.9231,138.14006,96.50871
0.0,126.92478,126.26355,137.28615,134.68907
0.0,127.05857,152.03142,137.41736,162.47981
0.0,127.19737,178.76512,137.53369,187.12294
0.0,127.29325,197.23442,137.6401,209.66324
0.0,127.43148,223.8567,137.76077,235.22025
0.0,126.47941,238.16464,137.81857,247.47746
0.0,126.746315,289.10992,138.06834,300.37997
0.0,126.85274,309.42883,137.13574,319.64505
0.0,126.958954,329.70032,137.22743,338.8756
0.0,15.157943,328.45667,25.368696,338.58762
0.0,14.757689,290.1124,25.98953,299.299
0.0,14.493585,264.81583,25.738588,274.03833
0.0,14.356006,251.64917,24.593102,260.8793
0.0,14.831185,199.79861,24.076296,209.08649
0.0,13.942255,212.02115,24.19812,221.30557
0.0,13.056629,127.1978,23.362898,137.62337
0.0,13.195801,140.51045,24.50546,149.91003
0.0,14.342842,152.81703,23.628426,164.21124
0.0,12.852917,107.68661,23.158201,117.11457
0.0,12.638087,87.11054,22.963379,97.59523
0.0,12.508993,74.72576,23.85287,84.21964
0.0,12.29351,54.086063,23.65837,64.64104
