class,xmin,ymin,xmax,ymax
0.0,-15.736515,6.555343,1.3180406,21.793522
0.0,130.18405,88.2793,144.07669,101.661064
0.0,133.3272,132.48996,144.69412,142.54948
0.0,134.5852,160.02354,145.9181,171.77849
0.0,135.86816,188.10349,146.98528,197.26266
0.0,136.74164,207.22063,147.94676,220.22336
0.0,137.98254,234.38014,149.02043,245.86292
0.0,137.57892,248.7748,149.5288,258.00278
0.0,139.89647,298.68567,151.68091,309.89374
0.0,140.79994,318.14914,151.4385,328.38034
0.0,141.6904,337.3004,152.20206,346.6148
0.0,15.88488,343.7802,29.425732,355.2683
0.0,12.032507,302.96674,27.00366,313.3196
0.0,9.432256,275.48398,24.594877,285.72287
0.0,8.058837,260.96487,22.035612,271.1475
0.0,3.8802989,201.86343,16.879547,212.9543
0.0,3.8483605,215.9483,18.112375,226.8439
0.0,-5.589422,115.04363,9.434712,129.07742
0.0,-4.066319,131.328,12.1023,143.943
0.0,-1.2874188,146.32634,12.251632,160.8141
0.0,-7.84684,90.9083,7.224658,104.177956
0.0,-10.264207,65.062874,5.0893292,80.12038
0.0,-11.735341,49.33415,5.0137763,63.653805
0.0,-14.222562,22.741869,2.8320599,38.94228
