class,xmin,ymin,xmax,ymax
0.0,127.0,41.0,138.0,51.0
0.0,128.0,73.0,138.0,83.0
0.0,127.0,105.0,139.0,114.0
0.0,128.0,176.0,138.0,185.0
0.0,128.0,195.0,139.0,205.0
0.0,127.0,208.0,138.0,218.0
0.0,127.0,221.0,139.0,230.0
0.0,128.0,233.0,139.0,242.0
0.0,128.0,259.0,138.0,269.0
0.0,17.0,246.0,27.0,255.0
0.0,17.0,233.0,28.0,242.0
0.0,18.0,221.0,28.0,230.0
0.0,17.0,195.0,27.0,205.0
0.0,17.0,176.0,27.0,186.0
0.0,18.0,150.0,28.0,160.0
0.0,17.0,124.0,28.0,133.0
0.0,17.0,86.0,28.0,95.0
0.0,18.0,73.0,28.0,83.0
0.0,17.0,284.0,28.0,294.0
0.0,17.0,303.0,27.0,313.0
0.0,128.0,324.0,138.0,333.0
0.0,127.0,303.0,138.0,314.0
0.0,128.0,285.0,138.0,294.0
0.0,16.0,324.0,28.0,334.0
0.0,127.0,54.0,139.0,64.0
