class,xmin,ymin,xmax,ymax
0.0,18.0,41.0,28.0,51.0
0.0,17.0,55.0,28.0,64.0
0.0,127.0,73.0,138.0,83.0
0.0,128.0,105.0,137.0,114.0
0.0,128.0,124.0,138.0,134.0
0.0,128.0,138.0,138.0,147.0
0.0,128.0,208.0,138.0,217.0
0.0,127.0,233.0,138.0,243.0
0.0,127.0,259.0,138.0,268.0
0.0,127.0,285.0,139.0,295.0
0.0,17.0,303.0,27.0,314.0
0.0,17.0,284.0,28.0,294.0
0.0,17.0,207.0,27.0,217.0
0.0,17.0,195.0,28.0,204.0
0.0,17.0,176.0,27.0,185.0
0.0,17.0,104.0,28.0,115.0
0.0,18.0,85.0,27.0,97.0
0.0,17.0,72.0,28.0,83.0
0.0,17.0,220.0,28.0,230.0
