class,xmin,ymin,xmax,ymax
0.0,17.0,41.0,28.0,50.0
0.0,127.0,86.0,139.0,96.0
0.0,128.0,125.0,138.0,133.0
0.0,128.0,150.0,138.0,160.0
0.0,128.0,176.0,138.0,184.0
0.0,128.0,194.0,138.0,206.0
0.0,128.0,220.0,138.0,231.0
0.0,127.0,234.0,138.0,243.0
0.0,127.0,284.0,138.0,295.0
0.0,127.0,304.0,137.0,314.0
0.0,127.0,324.0,137.0,333.0
0.0,17.0,322.0,27.0,332.0
0.0,17.0,284.0,28.0,293.0
0.0,17.0,259.0,28.0,268.0
0.0,17.0,246.0,27.0,255.0
0.0,18.0,195.0,27.0,204.0
0.0,17.0,207.0,27.0,216.0
0.0,17.0,124.0,27.0,134.0
0.0,17.0,137.0,28.0,146.0
0.0,18.0,149.0,27.0,160.0
0.0,17.0,105.0,27.0,114.0
0.0,17.0,85.0,27.0,95.0
0.0,17.0,73.0,28.0,82.0
0.0,17.0,53.0,28.0,63.0
